POSITION;TYPE;NOM;COULEUR;PRIXACHAT;LOYER;PARAMETRE/PRIXBATIMENT
0;CasesSpeciales;Depart;;;;2000
1;Proprietes;Belleville;violet;600;4000-5000-100-300-900-1600-2500;500
2;CasesCommunaute;Communaute;;;;
3;Proprietes;Lecourbe;violet;600;3000-4000-200-600-1800-3200-4500;500
4;CasesSpeciales;Impots revenu;;;;-2000
5;Proprietes;G Montparnasse;gare;2000;3500-5000-7500-10000;0
6;Proprietes;Vaugirard;ciel;1000;3600-3800-4100-300-900-2700-4000-5500;500
7;CasesChance;Chance;;;;
8;Proprietes;Courcelles;ciel;1000;3000-3850-4500-300-900-2700-4000-5500;500
9;Proprietes;Republique;ciel;1200;3000-4000-4500-400-1000-3000-4500-6000;500
10;CasesSpeciales;Prison;;;;0
11;Proprietes;La Villette;rose;1400;3000-3120-3140-500-1500-4500-6250-7500;1000
12;Proprietes;Electricite;compagnie;1500;3400-3420;0
13;Proprietes;Neuilly;rose;1400;3000-3125-3150-500-1500-4500-6250-7500;1000
14;Proprietes;Paradis;rose;1600;3120-3140-3160-600-1800-5000-7000-9000;1000
15;Proprietes;G. de Lyon;gare;2000;3250-3500-3750-4000;0
16;Proprietes;Mozart;orange;1800;3140-3155-3170-700-2000-5500-7500-9500;1000
17;CasesCommunaute;Communaute;;;;
18;Proprietes;Saint-Michel;orange;1800;3140-3160-3180-700-2000-5500-7500-9500;1000
19;Proprietes;Pigalle;orange;2000;3160-3180-3205-800-2200-6000-8000-10000;1000
20;CasesSpeciales;Parc gratuit;;;;0
21;Proprietes;Matignon;rouge;2200;3180-3200-3215-900-2500-7000-8750-10500;1500
22;CasesChance;Chance;;;;
23;Proprietes;Malesherbes;rouge;2200;3180-3205-3220-900-2500-7000-8750-10500;1500
24;Proprietes;Henri-Martin;rouge;2400;3200-3220-3240-1000-3000-7500-9250-11000;1500
25;Proprietes;G. du Nord;gare;2000;3250-3500-3750-4000;0
26;Proprietes;Saint-Honore;jaune;2600;3220-3235-3245-1100-3300-8000-9750-11500;1500
27;Proprietes;La Bourse;jaune;2600;3220-3240-3255-1100-3300-8000-9750-11500;1500
28;Proprietes;Eaux;compagnie;1500;3400-4120;0
29;Proprietes;La Fayette;jaune;2800;3240-3260-3280-1200-3600-8500-10250-12000;1500
30;CasesSpeciales;Aller prison;;;;0
31;Proprietes;Breteuil;vert;3000;3260-3275-3285-1300-3900-9000-11000-12750;2000
32;Proprietes;Foch;vert;3000;3260-3280-3300-1300-3900-9000-11000-12750;2000
33;CasesCommunaute;Communaute;;;;
34;Proprietes;Capucines;vert;3200;3280-3300-3320-1500-4500-10000-12000-14000;2000
35;Proprietes;G. St-Lazare;gare;2000;3250-3500-3750-4000;0
36;CasesChance;Chance;;;;
37;Proprietes;Champs-Elysees;bleu;3500;3350-3500-1750-5000-11000-13000-15000;2000
38;CasesSpeciales;Taxe de luxe;;;;-1000
39;Proprietes;Rue de la Paix;bleu;4000;4500-4750-2000-6000-14000-17000-20000;2000
